date_sent,headline,source_url
2026-08-22,"Multi-state drug trafficking operation dismantled (Detroit-Morgantown WV), 28 charged",https://www.dea.gov/press-releases/2026/08/21/multi-state-drug-trafficking-operation-dismantled-part-homeland-security
2026-08-22,"Ten defendants sentenced in South Florida cocaine trafficking conspiracy",https://www.dea.gov/press-releases/2026/08/21/homeland-security-task-force-ten-defendants-sentenced-south-florida
2026-08-22,"CBP seizes 1675 lbs meth ($14.9M) hidden in celery at Pharr International Bridge",https://www.cbp.gov/newsroom/local-media-release/cbp-seizes-more-14-million-methamphetamine-pharr-international-bridge
2026-08-22,"Veterans Affairs nurse indicted for stealing opioids",https://www.dea.gov/press-releases/2026/08/21/veterans-affairs-nurse-indicted-for-stealing-opioids
2026-08-22,"Fentanyl packaging mill dismantled in the Bronx - Game of Death branding, 7 arrested, 4 kg",https://www.dea.gov/press-releases/2026/08/21/fentanyl-packaging-mill-dismantled-bronx-new-york-packages-branded-game
2026-08-22,"DEA New York takedown of Western New York drug ring, 17 charged, 10 kg cocaine",https://www.dea.gov/press-releases/2026/08/21/dea-new-york-enforcement-division-announces-takedown-western-new-york
2026-08-22,"DEA Detroit seizes 8.5 million fentanyl doses, 142 guns, 176 arrests",https://www.clickondetroit.com/news/local/2026/08/20/dea-detroit-seizes-85-million-potentially-deadly-doses-of-fentanyl-142-guns-seized-176-arrests/
2026-08-22,"Marianna FL man sentenced to 45 months for cocaine and marijuana conspiracy",https://www.dea.gov/press-releases/2026/08/21/marianna-man-sentenced-forty-five-months-federal-prison-for-conspiring
2026-08-22,"Ecuador seizes 1011 kg cocaine in lifting machinery at Port of Posorja bound for Mexico",https://www.infobae.com/america/agencias/2026/08/21/ecuador-incauta-101-toneladas-de-cocaina-que-tenia-como-destino-mexico/
2026-08-22,"Ecuador arrests Interpol red-notice trafficker Ruben Bermudez Loor in Guayaquil",https://www.infobae.com/america/america-latina/2026/08/21/ecuador-detuvo-en-una-operacion-transnacional-a-un-delincuente-con-alerta-roja-de-interpol-buscado-por-narcotrafico/
2026-08-22,"Colombia seizes 4.5 tonnes cocaine in Putumayo and Norte de Santander (ELN, Comandos de Frontera)",https://www.chicanoticias.com/2026/08/21/incautan-45-toneladas-de-cocaina/
2026-08-22,"Spain: 10 arrested and nearly 6 tonnes of hashish seized off Huelva after shots at Guardia Civil boat",https://www.eldebate.com/espana/andalucia/20260822/huida-tiros-narcos-frente-huelva-acaba-diez-detenidos-casi-seis-toneladas-hachis_451406.html
2026-08-22,"Indonesia: 2.6 tonnes of liquid methamphetamine intercepted off Bengkalis",https://www.thejakartapost.com/indonesia/2026/08/21/joint-team-foils-effort-to-smuggle-2-6-tonnes-of-liquid-sabu-off-bengkalis
2026-08-22,"CJNG regional boss Heraclio Guerrero Martinez 'Tio Lako' evades capture in Michoacan",https://insightcrime.org/mexico-organized-crime-news/
2026-08-22,"InSight Crime: US weighs expanding anti-drug operations from maritime to ground campaigns",https://insightcrime.org/feed/
2026-08-22,"InSight Crime updated profiles: Ecuador's Choneros in decline, Lobos expanding to 16 provinces",https://insightcrime.org/feed/
2026-08-25,"Operation Last Stand - 31 charged across a Charleston-area cartel supply network",https://www.fitsnews.com/2026/08/24/hundreds-of-kilos-state-federal-authorities-target-alleged-cartel-drug-network/
2026-08-25,"44 lbs of crystal meth intercepted in a controlled delivery in Logan County Kentucky",https://www.wbko.com/2026/08/24/2-arrested-south-central-kentucky-drug-task-force-meth-bust-worth-1m-officials-say/
2026-08-25,"Brenham Texas traffic stop yields 18 kg of methamphetamine",https://www.kbtx.com/2026/08/24/police-seize-nearly-40-pounds-methamphetamine-during-brenham-traffic-stop/
